,adaptive-support,no-support,passenger-support,staff-support
0,273.0,440.0,265.0,264.0
1,260.0,253.0,316.0,433.0
2,274.0,1406.0,290.0,254.0
3,270.0,439.0,300.0,315.0
4,261.0,488.0,429.0,254.0
5,308.0,261.0,253.0,311.0
6,398.0,302.0,372.0,316.0
7,263.0,1128.0,256.0,296.0
8,265.0,277.0,491.0,429.0
9,249.0,273.0,322.0,260.0
10,209.0,1916.0,260.0,267.0
11,246.0,465.0,330.0,290.0
12,318.0,270.0,267.0,310.0
13,261.0,283.0,331.0,262.0
14,259.0,267.0,438.0,429.0
15,250.0,266.0,304.0,255.0
16,433.0,428.0,305.0,322.0
17,432.0,263.0,262.0,311.0
18,316.0,274.0,272.0,274.0
19,255.0,473.0,428.0,253.0
20,226.0,1071.0,260.0,462.0
21,257.0,275.0,257.0,231.0
22,324.0,255.0,420.0,315.0
23,253.0,252.0,434.0,259.0
24,265.0,435.0,331.0,440.0
25,313.0,323.0,251.0,255.0
26,439.0,,255.0,312.0
27,264.0,435.0,333.0,262.0
28,342.0,254.0,308.0,1235.0
29,430.0,249.0,266.0,425.0
30,260.0,257.0,431.0,257.0
31,256.0,333.0,276.0,310.0
32,258.0,432.0,356.0,257.0
33,374.0,250.0,267.0,256.0
34,265.0,436.0,259.0,328.0
35,430.0,295.0,316.0,262.0
36,314.0,443.0,517.0,434.0
37,268.0,,378.0,261.0
38,248.0,448.0,448.0,266.0
39,246.0,431.0,285.0,260.0
40,258.0,869.0,308.0,434.0
41,315.0,256.0,611.0,429.0
42,328.0,252.0,429.0,266.0
43,257.0,457.0,428.0,261.0
44,436.0,290.0,327.0,268.0
45,296.0,678.0,249.0,269.0
46,255.0,469.0,262.0,316.0
47,287.0,473.0,310.0,246.0
48,263.0,436.0,263.0,261.0
49,286.0,480.0,451.0,429.0
50,316.0,308.0,261.0,250.0
51,283.0,280.0,263.0,443.0
52,294.0,267.0,260.0,430.0
53,431.0,438.0,272.0,383.0
54,305.0,433.0,259.0,376.0
55,245.0,314.0,258.0,373.0
56,375.0,1417.0,256.0,263.0
57,317.0,500.0,252.0,431.0
58,317.0,315.0,500.0,296.0
59,247.0,481.0,251.0,430.0
60,277.0,,277.0,261.0
61,258.0,252.0,435.0,259.0
62,317.0,251.0,244.0,252.0
63,429.0,1473.0,257.0,262.0
64,257.0,275.0,266.0,431.0
65,262.0,260.0,374.0,271.0
66,442.0,500.0,251.0,254.0
67,257.0,250.0,434.0,370.0
68,373.0,291.0,428.0,254.0
69,317.0,314.0,208.0,320.0
70,313.0,311.0,369.0,327.0
71,430.0,266.0,260.0,248.0
72,260.0,955.0,259.0,254.0
73,267.0,438.0,275.0,432.0
74,320.0,493.0,431.0,255.0
75,428.0,250.0,247.0,274.0
76,316.0,874.0,254.0,344.0
77,428.0,273.0,252.0,245.0
78,264.0,261.0,279.0,245.0
79,293.0,473.0,319.0,264.0
80,244.0,436.0,344.0,434.0
81,845.0,276.0,265.0,430.0
82,319.0,262.0,462.0,433.0
83,339.0,450.0,430.0,384.0
84,441.0,500.0,435.0,277.0
85,314.0,1206.0,328.0,249.0
86,262.0,503.0,603.0,384.0
87,447.0,291.0,258.0,315.0
88,253.0,512.0,318.0,374.0
89,318.0,912.0,277.0,372.0
90,431.0,444.0,255.0,245.0
91,270.0,882.0,260.0,259.0
92,258.0,308.0,274.0,244.0
93,255.0,1841.0,278.0,434.0
94,425.0,253.0,279.0,430.0
95,424.0,1299.0,260.0,261.0
96,317.0,483.0,296.0,256.0
97,314.0,259.0,311.0,262.0
98,373.0,429.0,255.0,435.0
99,259.0,430.0,445.0,310.0
